,time_of_day,dob,student_status,RC_1,RC_2,RC_3,RC_4,RC_5,Diff_timing,Diff_found,Diff_found_list,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,Pattern_1,Liar_check,group,RC_score,Diff_score,M_score,Pattern_score,Liar_score,Big_liar_score,nighttime,Score
108,6,1984,Undergraduate Student,1,0,0,0,0,130.123,3,"wand, book, rocket",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,dark_mode,0.25,0.2,1.0,0,0.5,1,False,0.3625
109,10,1996,Graduate Student,1,1,1,0,0,109.078,3,"c, stick, E",0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,dark_mode,0.75,0.2,0.375,1,0.0,0,False,0.58125
110,12,2000,Undergraduate Student,1,1,0,0,0,65.011,4,"bubble, rocket, star, ",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,dark_mode,0.5,0.26666666666666666,0.1875,0,0.5,1,False,0.23854166666666665
111,23,2001,Undergraduate Student,1,1,1,1,1,130.147,5,"dot, ball, rocket, ",1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,dark_mode,1.0,0.3333333333333333,0.5,1,1.0,1,True,0.7083333333333333
112,23,2000,Undergraduate Student,0,1,0,0,1,62.69,4,"eye, rocket, pencil tip, claw",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,dark_mode,0.5,0.26666666666666666,0.9375,1,0.5,1,True,0.6760416666666667
113,15,2001,Undergraduate Student,1,1,1,1,1,130.193,5,"globe, rocket, pencil, stick, star",1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,dark_mode,1.0,0.3333333333333333,0.8125,0,1.0,1,False,0.5364583333333333
114,20,2002,Undergraduate Student,1,1,1,1,0,101.975,3,"rocket, bubbles, sparkle",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,dark_mode,0.75,0.2,0.1875,0,1.0,1,True,0.284375
118,22,1996,Graduate Student,0,1,1,1,0,65.011,5,book,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,low_contrast,0.5,0.3333333333333333,1.0,1,1.0,1,True,0.7083333333333333
121,6,1998,Graduate Student,1,1,0,1,0,65.008,1,Scales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,low_contrast,0.5,0.06666666666666667,0.0,0,1.0,1,False,0.14166666666666666
122,6,1994,Graduate Student,1,1,0,0,0,65.142,2,Rocke,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,low_contrast,0.5,0.13333333333333333,0.75,0,0.5,1,False,0.3458333333333333
123,8,1991,Graduate Student,0,0,1,0,1,130.175,5,book staff face dress things,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,low_contrast,0.5,0.3333333333333333,0.875,0,0.0,0,False,0.4270833333333333
124,18,2000,Undergraduate Student,1,1,1,1,0,130.075,1,lever,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,low_contrast,0.75,0.06666666666666667,0.5,1,1.0,1,False,0.5791666666666666
